integer value	ROI intensity	reference intensity
1500.000000	10932.000000	  0.000000
1520.000000	10784.000000	  0.003480
1540.000000	11033.000000	  0.003646
1560.000000	11083.000000	  0.003646
1580.000000	10693.000000	  0.003646
1600.000000	10387.000000	  0.003646
1620.000000	10650.000000	  0.003646
1640.000000	10698.000000	  0.003480
1660.000000	10363.000000	  0.003811
1680.000000	10592.000000	  0.003314
1700.000000	10347.000000	  0.003480
1720.000000	10892.000000	  0.003646
1740.000000	10514.000000	  0.003480
1760.000000	10307.000000	  0.003646
1780.000000	10369.000000	  0.003646
1800.000000	10617.000000	  0.003646
1820.000000	10035.000000	  0.003480
1840.000000	10129.000000	  0.003646
1860.000000	10442.000000	  0.003480
1880.000000	10372.000000	  0.003646
1900.000000	10124.000000	  0.003646
1920.000000	10363.000000	  0.003480
1940.000000	10362.000000	  0.003646
1960.000000	10153.000000	  0.003646
1980.000000	9994.000000	  0.003646
2000.000000	10340.000000	  0.003480
2020.000000	9947.000000	  0.003646
2040.000000	10188.000000	  0.003480
2060.000000	10447.000000	  0.003646
2080.000000	10202.000000	  0.003480
2100.000000	10227.000000	  0.003480
2120.000000	10217.000000	  0.003646
2140.000000	9886.000000	  0.003480
2160.000000	10186.000000	  0.003480
2180.000000	10328.000000	  0.003314
2200.000000	10410.000000	  0.003314
2220.000000	10257.000000	  0.003480
2240.000000	10486.000000	  0.003646
2260.000000	10202.000000	  0.003646
2280.000000	10527.000000	  0.003811
2300.000000	10415.000000	  0.003480
2320.000000	10333.000000	  0.003480
2340.000000	10881.000000	  0.003646
2360.000000	10737.000000	  0.003480
2380.000000	10443.000000	  0.003480
2400.000000	10418.000000	  0.003480
2420.000000	10406.000000	  0.003646
2440.000000	10609.000000	  0.003646
2460.000000	11079.000000	  0.003646
2480.000000	10916.000000	  0.003646
2500.000000	11081.000000	  0.003480
2520.000000	11165.000000	  0.003480
2540.000000	11076.000000	  0.003480
2560.000000	11086.000000	  0.003480
2580.000000	11069.000000	  0.003480
2600.000000	11278.000000	  0.003811
2620.000000	11254.000000	  0.003314
2640.000000	11565.000000	  0.003480
2660.000000	11971.000000	  0.003480
2680.000000	11611.000000	  0.003646
2700.000000	11568.000000	  0.003646
2720.000000	11589.000000	  0.003646
2740.000000	12027.000000	  0.003480
2760.000000	11984.000000	  0.003480
2780.000000	12149.000000	  0.003646
2800.000000	12993.000000	  0.003480
2820.000000	12789.000000	  0.003480
2840.000000	12808.000000	  0.003646
2860.000000	13147.000000	  0.003314
2880.000000	12992.000000	  0.003480
2900.000000	13903.000000	  0.003646
2920.000000	14298.000000	  0.003314
2940.000000	14359.000000	  0.003480
2960.000000	14450.000000	  0.003811
2980.000000	14768.000000	  0.003480
3000.000000	15389.000000	  0.003646
3020.000000	16340.000000	  0.003646
3040.000000	16891.000000	  0.003480
3060.000000	17815.000000	  0.003646
3080.000000	18855.000000	  0.003480
3100.000000	19421.000000	  0.003480
3120.000000	19929.000000	  0.003480
3140.000000	20798.000000	  0.003480
3160.000000	22448.000000	  0.003480
3180.000000	23340.000000	  0.003480
3200.000000	25711.000000	  0.003480
3220.000000	26737.000000	  0.003480
3240.000000	27405.000000	  0.003480
3260.000000	29252.000000	  0.003480
3280.000000	30558.000000	  0.003480
3300.000000	32325.000000	  0.003646
3320.000000	33044.000000	  0.003811
3340.000000	34541.000000	  0.003646
3360.000000	37398.000000	  0.003811
3380.000000	38982.000000	  0.003480
3400.000000	39457.000000	  0.003480
3420.000000	41791.000000	  0.003480
3440.000000	41328.000000	  0.003480
3460.000000	41242.000000	  0.003480
3480.000000	42336.000000	  0.003646
3500.000000	41527.000000	  0.003480
3520.000000	42357.000000	  0.003480
3540.000000	42280.000000	  0.003480
3560.000000	40901.000000	  0.003646
3580.000000	40727.000000	  0.003646
3600.000000	42009.000000	  0.003646
3620.000000	38417.000000	  0.003480
3640.000000	37518.000000	  0.003646
3660.000000	36471.000000	  0.003811
3680.000000	34470.000000	  0.003646
3700.000000	36233.000000	  0.003646
3720.000000	34057.000000	  0.003646
3740.000000	34427.000000	  0.003646
3760.000000	33698.000000	  0.003646
3780.000000	31967.000000	  0.003646
3800.000000	31394.000000	  0.003480
3820.000000	31507.000000	  0.003646
3840.000000	31899.000000	  0.003480
3860.000000	31668.000000	  0.003480
3880.000000	32477.000000	  0.003480
3900.000000	31732.000000	  0.003646
3920.000000	33186.000000	  0.003480
3940.000000	34388.000000	  0.003646
3960.000000	34786.000000	  0.003480
3980.000000	35907.000000	  0.003646
4000.000000	36862.000000	  0.003480
4020.000000	39716.000000	  0.003480
4040.000000	40847.000000	  0.003646
4060.000000	40324.000000	  0.003646
4080.000000	41469.000000	  0.003646
4100.000000	42702.000000	  0.003480
4120.000000	42349.000000	  0.003646
4140.000000	44388.000000	  0.003646
4160.000000	43474.000000	  0.003480
4180.000000	41854.000000	  0.003646
4200.000000	42614.000000	  0.003480
4220.000000	40491.000000	  0.003480
4240.000000	40097.000000	  0.003314
4260.000000	39056.000000	  0.003646
4280.000000	38849.000000	  0.003646
4300.000000	37792.000000	  0.003646
4320.000000	35335.000000	  0.003646
4340.000000	34653.000000	  0.003646
4360.000000	31262.000000	  0.003314
4380.000000	31173.000000	  0.003646
4400.000000	28973.000000	  0.003480
4420.000000	27108.000000	  0.003646
4440.000000	25574.000000	  0.003480
4460.000000	24936.000000	  0.003480
4480.000000	22341.000000	  0.003314
4500.000000	21977.000000	  0.003646
