integer value	ROI intensity	reference intensity
  0.000000	17242.000000	  0.003314
 50.000000	16152.000000	  0.003480
100.000000	15311.000000	  0.003314
150.000000	14029.000000	  0.003148
200.000000	13499.000000	  0.003646
250.000000	13138.000000	  0.003480
300.000000	12513.000000	  0.003480
350.000000	12370.000000	  0.003480
400.000000	12109.000000	  0.003314
450.000000	11717.000000	  0.003480
500.000000	11339.000000	  0.003480
550.000000	11091.000000	  0.003314
600.000000	11306.000000	  0.003480
650.000000	10910.000000	  0.003480
700.000000	10977.000000	  0.003480
750.000000	10963.000000	  0.003314
800.000000	11346.000000	  0.003480
850.000000	11821.000000	  0.003480
900.000000	11914.000000	  0.003480
950.000000	12944.000000	  0.003646
1000.000000	13835.000000	  0.003480
1050.000000	15032.000000	  0.003148
1100.000000	16225.000000	  0.003480
1150.000000	18389.000000	  0.003480
1200.000000	20053.000000	  0.003480
1250.000000	22113.000000	  0.003646
1300.000000	24779.000000	  0.003480
1350.000000	28717.000000	  0.003148
1400.000000	30628.000000	  0.003480
1450.000000	33802.000000	  0.003314
1500.000000	36365.000000	  0.003314
1550.000000	38894.000000	  0.003646
1600.000000	38909.000000	  0.003480
1650.000000	39970.000000	  0.003480
1700.000000	38926.000000	  0.003480
1750.000000	36079.000000	  0.003148
1800.000000	36800.000000	  0.003646
1850.000000	35555.000000	  0.003480
1900.000000	36970.000000	  0.003480
1950.000000	35746.000000	  0.003480
2000.000000	38215.000000	  0.003314
2050.000000	41165.000000	  0.003480
2100.000000	44262.000000	  0.003480
2150.000000	47468.000000	  0.003646
2200.000000	52020.000000	  0.003480
2250.000000	54848.000000	  0.003480
2300.000000	60305.000000	  0.003480
2350.000000	58548.000000	  0.003314
2400.000000	60190.000000	  0.003314
2450.000000	57057.000000	  0.003314
2500.000000	57089.000000	  0.003480
2550.000000	56102.000000	  0.003480
2600.000000	52918.000000	  0.003480
2650.000000	51116.000000	  0.003480
2700.000000	50662.000000	  0.003480
2750.000000	47842.000000	  0.003480
2800.000000	50066.000000	  0.003314
2850.000000	52143.000000	  0.003314
2900.000000	50574.000000	  0.003480
2950.000000	55096.000000	  0.003646
3000.000000	57407.000000	  0.003480
3050.000000	60018.000000	  0.003480
3100.000000	62052.000000	  0.003646
3150.000000	63636.000000	  0.003480
3200.000000	61657.000000	  0.003480
3250.000000	59946.000000	  0.003646
3300.000000	56691.000000	  0.003646
3350.000000	52665.000000	  0.003646
3400.000000	47248.000000	  0.003646
3450.000000	48261.000000	  0.003480
3500.000000	45637.000000	  0.003977
3550.000000	45862.000000	  0.003977
3600.000000	46651.000000	  0.003314
3650.000000	48874.000000	  0.003811
3700.000000	51021.000000	  0.003646
3750.000000	55202.000000	  0.003646
3800.000000	58488.000000	  0.003148
3850.000000	63154.000000	  0.003314
3900.000000	63858.000000	  0.003646
3950.000000	66133.000000	  0.003480
4000.000000	60801.000000	  0.003314
4050.000000	60597.000000	  0.003480
4100.000000	57162.000000	  0.003480
4150.000000	55380.000000	  0.003314
4200.000000	52214.000000	  0.003811
4250.000000	52366.000000	  0.003646
4300.000000	49638.000000	  0.003480
4350.000000	51174.000000	  0.003480
4400.000000	53086.000000	  0.003314
4450.000000	56336.000000	  0.003148
4500.000000	59668.000000	  0.003811
4550.000000	60899.000000	  0.003646
4600.000000	62268.000000	  0.003314
4650.000000	64743.000000	  0.003148
4700.000000	60370.000000	  0.003314
4750.000000	58571.000000	  0.003646
4800.000000	52830.000000	  0.003314
4850.000000	49600.000000	  0.003646
4900.000000	43558.000000	  0.003480
4950.000000	40545.000000	  0.003480
