integer value	ROI intensity	reference intensity
2000.000000	63808.000000	  0.000000
2020.000000	63567.000000	  0.003314
2040.000000	66427.000000	  0.003646
2060.000000	65775.000000	  0.003480
2080.000000	68719.000000	  0.003480
2100.000000	64619.000000	  0.003646
2120.000000	65899.000000	  0.003480
2140.000000	66767.000000	  0.003646
2160.000000	69987.000000	  0.003646
2180.000000	69351.000000	  0.003314
2200.000000	69055.000000	  0.003480
2220.000000	70825.000000	  0.003480
2240.000000	73903.000000	  0.003646
2260.000000	69153.000000	  0.003480
2280.000000	71572.000000	  0.003646
2300.000000	70471.000000	  0.003646
2320.000000	71759.000000	  0.003480
2340.000000	71652.000000	  0.003480
2360.000000	72220.000000	  0.003480
2380.000000	66645.000000	  0.003314
2400.000000	68738.000000	  0.003646
2420.000000	67599.000000	  0.003314
2440.000000	67232.000000	  0.003646
2460.000000	64806.000000	  0.003646
2480.000000	62647.000000	  0.003480
2500.000000	61999.000000	  0.003480
2520.000000	60879.000000	  0.003480
2540.000000	60134.000000	  0.003646
2560.000000	58629.000000	  0.003480
2580.000000	53699.000000	  0.003480
2600.000000	52929.000000	  0.003480
2620.000000	52725.000000	  0.003646
2640.000000	48400.000000	  0.003480
2660.000000	46433.000000	  0.003646
2680.000000	43851.000000	  0.003314
2700.000000	43431.000000	  0.003480
2720.000000	39864.000000	  0.003646
2740.000000	39772.000000	  0.003480
2760.000000	38442.000000	  0.003646
2780.000000	36575.000000	  0.003314
2800.000000	36514.000000	  0.003480
2820.000000	34536.000000	  0.003480
2840.000000	33933.000000	  0.003314
2860.000000	33310.000000	  0.003480
2880.000000	32332.000000	  0.003480
2900.000000	31429.000000	  0.003480
2920.000000	31389.000000	  0.003314
2940.000000	29376.000000	  0.003480
2960.000000	29248.000000	  0.003480
2980.000000	28853.000000	  0.003480
3000.000000	29031.000000	  0.003480
3020.000000	28387.000000	  0.003480
3040.000000	27560.000000	  0.003480
3060.000000	27500.000000	  0.003480
3080.000000	25920.000000	  0.003480
3100.000000	25035.000000	  0.003480
3120.000000	25240.000000	  0.003480
3140.000000	25000.000000	  0.003480
3160.000000	25365.000000	  0.003480
3180.000000	25147.000000	  0.003480
3200.000000	23918.000000	  0.003480
3220.000000	23937.000000	  0.003314
3240.000000	24163.000000	  0.003646
3260.000000	24088.000000	  0.003646
3280.000000	23377.000000	  0.003480
3300.000000	23154.000000	  0.003480
3320.000000	22574.000000	  0.003646
3340.000000	22703.000000	  0.003646
3360.000000	23395.000000	  0.003646
3380.000000	23585.000000	  0.003314
3400.000000	22196.000000	  0.003480
3420.000000	23251.000000	  0.003480
3440.000000	23084.000000	  0.003646
3460.000000	23054.000000	  0.003480
3480.000000	23602.000000	  0.003480
3500.000000	23236.000000	  0.003480
3520.000000	23067.000000	  0.003646
3540.000000	23890.000000	  0.003480
3560.000000	23593.000000	  0.003480
3580.000000	24312.000000	  0.003646
3600.000000	23989.000000	  0.003480
3620.000000	24309.000000	  0.003646
3640.000000	24258.000000	  0.003480
3660.000000	25084.000000	  0.003480
3680.000000	26368.000000	  0.003646
3700.000000	26487.000000	  0.003480
3720.000000	27340.000000	  0.003480
3740.000000	27656.000000	  0.003480
3760.000000	28777.000000	  0.003646
3780.000000	29648.000000	  0.003646
3800.000000	30609.000000	  0.003480
3820.000000	31804.000000	  0.003480
3840.000000	34194.000000	  0.003646
3860.000000	35147.000000	  0.003480
3880.000000	38079.000000	  0.003480
3900.000000	37618.000000	  0.003480
3920.000000	39725.000000	  0.003480
3940.000000	41724.000000	  0.003646
3960.000000	44820.000000	  0.003480
3980.000000	46166.000000	  0.003646
4000.000000	48025.000000	  0.003646
4020.000000	48761.000000	  0.003646
4040.000000	54993.000000	  0.003646
4060.000000	54823.000000	  0.003480
4080.000000	58046.000000	  0.003480
4100.000000	59208.000000	  0.003314
4120.000000	61590.000000	  0.003480
4140.000000	63348.000000	  0.003480
4160.000000	63617.000000	  0.003148
4180.000000	64965.000000	  0.003646
4200.000000	66700.000000	  0.003480
4220.000000	65360.000000	  0.003811
4240.000000	65748.000000	  0.003480
4260.000000	67461.000000	  0.003646
4280.000000	65802.000000	  0.003480
4300.000000	65256.000000	  0.003480
4320.000000	64312.000000	  0.003480
4340.000000	68994.000000	  0.003646
4360.000000	66574.000000	  0.003480
4380.000000	65599.000000	  0.003646
4400.000000	64902.000000	  0.003480
4420.000000	65676.000000	  0.003480
4440.000000	62166.000000	  0.003480
4460.000000	60759.000000	  0.003646
4480.000000	60442.000000	  0.003646
4500.000000	62706.000000	  0.003480
4520.000000	63198.000000	  0.003480
4540.000000	62881.000000	  0.003480
4560.000000	62785.000000	  0.003480
4580.000000	63201.000000	  0.003646
4600.000000	63300.000000	  0.003646
4620.000000	65789.000000	  0.003646
4640.000000	64343.000000	  0.003480
4660.000000	67605.000000	  0.003480
4680.000000	69232.000000	  0.003646
4700.000000	71074.000000	  0.003646
4720.000000	74816.000000	  0.003646
4740.000000	73751.000000	  0.003480
4760.000000	77776.000000	  0.003480
4780.000000	80120.000000	  0.003480
4800.000000	80748.000000	  0.003646
4820.000000	81095.000000	  0.003480
4840.000000	82562.000000	  0.003480
4860.000000	82505.000000	  0.003480
4880.000000	83121.000000	  0.003314
4900.000000	83117.000000	  0.003646
4920.000000	83121.000000	  0.003646
4940.000000	83121.000000	  0.003480
4960.000000	83121.000000	  0.003480
4980.000000	83121.000000	  0.003646
5000.000000	83121.000000	  0.003646
5020.000000	83121.000000	  0.003480
5040.000000	83121.000000	  0.003646
5060.000000	83121.000000	  0.003480
5080.000000	83121.000000	  0.003646
5100.000000	83121.000000	  0.003480
5120.000000	83121.000000	  0.003480
5140.000000	83121.000000	  0.003480
5160.000000	83107.000000	  0.003480
5180.000000	83121.000000	  0.003811
5200.000000	83095.000000	  0.003646
5220.000000	83064.000000	  0.003480
5240.000000	83001.000000	  0.003646
5260.000000	83060.000000	  0.003480
5280.000000	82873.000000	  0.003480
5300.000000	82828.000000	  0.003480
5320.000000	79443.000000	  0.003480
5340.000000	80428.000000	  0.003646
5360.000000	81508.000000	  0.003480
5380.000000	81884.000000	  0.003646
5400.000000	  0.000000	  0.000000
5420.000000	  0.000000	  0.000000
5440.000000	  0.000000	  0.000000
5460.000000	  0.000000	  0.000000
5480.000000	  0.000000	  0.000000
5500.000000	  0.000000	  0.000000
5520.000000	  0.000000	  0.000000
5540.000000	  0.000000	  0.000000
5560.000000	  0.000000	  0.000000
5580.000000	  0.000000	  0.000000
5600.000000	  0.000000	  0.000000
5620.000000	  0.000000	  0.000000
5640.000000	  0.000000	  0.000000
5660.000000	  0.000000	  0.000000
5680.000000	  0.000000	  0.000000
5700.000000	  0.000000	  0.000000
5720.000000	  0.000000	  0.000000
5740.000000	  0.000000	  0.000000
5760.000000	  0.000000	  0.000000
5780.000000	  0.000000	  0.000000
5800.000000	  0.000000	  0.000000
5820.000000	  0.000000	  0.000000
5840.000000	  0.000000	  0.000000
5860.000000	  0.000000	  0.000000
5880.000000	  0.000000	  0.000000
5900.000000	  0.000000	  0.000000
5920.000000	  0.000000	  0.000000
5940.000000	  0.000000	  0.000000
5960.000000	  0.000000	  0.000000
