integer value	ROI intensity	reference intensity
4000.000000	40998.000000	  0.003314
4050.000000	40482.000000	  0.003480
4100.000000	38669.000000	  0.003314
4150.000000	37699.000000	  0.003314
4200.000000	37654.000000	  0.003314
4250.000000	33661.000000	  0.003480
4300.000000	32869.000000	  0.003646
4350.000000	32404.000000	  0.003480
4400.000000	29484.000000	  0.003480
4450.000000	28922.000000	  0.003314
4500.000000	29669.000000	  0.003480
4550.000000	29994.000000	  0.003314
4600.000000	29544.000000	  0.003480
4650.000000	31731.000000	  0.003314
4700.000000	35397.000000	  0.003314
4750.000000	36437.000000	  0.003314
4800.000000	40199.000000	  0.003314
4850.000000	42085.000000	  0.003480
4900.000000	44096.000000	  0.003314
4950.000000	43847.000000	  0.003480
