integer value	ROI intensity	reference intensity
  0.000000	17103.000000	  0.003480
 50.000000	17230.000000	  0.003314
100.000000	16710.000000	  0.003148
150.000000	17564.000000	  0.003314
200.000000	17996.000000	  0.003480
250.000000	18079.000000	  0.003480
300.000000	19014.000000	  0.003480
350.000000	19367.000000	  0.003480
400.000000	20854.000000	  0.003314
450.000000	21479.000000	  0.003148
500.000000	22950.000000	  0.003480
550.000000	24938.000000	  0.003480
600.000000	26084.000000	  0.003480
650.000000	28653.000000	  0.003480
700.000000	32194.000000	  0.003314
750.000000	34820.000000	  0.003314
800.000000	38241.000000	  0.003480
850.000000	42651.000000	  0.003314
900.000000	44265.000000	  0.003480
950.000000	45371.000000	  0.003480
1000.000000	47966.000000	  0.003314
1050.000000	48970.000000	  0.003480
1100.000000	48822.000000	  0.003314
1150.000000	48189.000000	  0.003480
1200.000000	48027.000000	  0.003314
1250.000000	48108.000000	  0.003314
1300.000000	49244.000000	  0.003480
1350.000000	48481.000000	  0.003148
1400.000000	50343.000000	  0.003314
1450.000000	52822.000000	  0.003480
1500.000000	55109.000000	  0.003314
1550.000000	57877.000000	  0.003314
1600.000000	60217.000000	  0.003480
1650.000000	65009.000000	  0.003480
1700.000000	66676.000000	  0.003480
1750.000000	70828.000000	  0.003314
1800.000000	72204.000000	  0.003480
1850.000000	71806.000000	  0.003480
1900.000000	72705.000000	  0.003148
1950.000000	70650.000000	  0.003480
2000.000000	70181.000000	  0.003314
2050.000000	69870.000000	  0.003480
2100.000000	66333.000000	  0.003480
2150.000000	66471.000000	  0.003314
2200.000000	68020.000000	  0.003646
2250.000000	68590.000000	  0.003314
2300.000000	69700.000000	  0.003480
2350.000000	71503.000000	  0.003480
2400.000000	72933.000000	  0.003314
2450.000000	72476.000000	  0.003314
2500.000000	77351.000000	  0.003480
2550.000000	76027.000000	  0.003314
2600.000000	77891.000000	  0.003480
2650.000000	75592.000000	  0.003148
2700.000000	74190.000000	  0.003480
2750.000000	71983.000000	  0.003148
2800.000000	68434.000000	  0.003480
2850.000000	68225.000000	  0.003314
2900.000000	64701.000000	  0.003314
2950.000000	64970.000000	  0.003314
3000.000000	64554.000000	  0.003646
3050.000000	62956.000000	  0.003314
3100.000000	66320.000000	  0.003480
3150.000000	67585.000000	  0.003480
3200.000000	71388.000000	  0.003148
3250.000000	72678.000000	  0.003480
3300.000000	77049.000000	  0.003480
3350.000000	76543.000000	  0.003480
3400.000000	79209.000000	  0.003480
3450.000000	78442.000000	  0.003480
3500.000000	77159.000000	  0.003480
3550.000000	73860.000000	  0.003480
3600.000000	74945.000000	  0.003480
3650.000000	70113.000000	  0.003480
3700.000000	70030.000000	  0.003314
3750.000000	66929.000000	  0.003314
3800.000000	68619.000000	  0.003480
3850.000000	69873.000000	  0.003480
3900.000000	70684.000000	  0.003646
3950.000000	69710.000000	  0.003480
4000.000000	76501.000000	  0.003480
4050.000000	78667.000000	  0.003480
4100.000000	78162.000000	  0.003314
4150.000000	77899.000000	  0.003480
4200.000000	77725.000000	  0.003314
4250.000000	72334.000000	  0.003314
4300.000000	68757.000000	  0.003314
4350.000000	62692.000000	  0.003480
4400.000000	58319.000000	  0.003480
4450.000000	55276.000000	  0.003314
4500.000000	51479.000000	  0.003314
4550.000000	50427.000000	  0.003480
4600.000000	50888.000000	  0.003480
4650.000000	49866.000000	  0.003314
4700.000000	50640.000000	  0.003314
4750.000000	50523.000000	  0.003480
4800.000000	51373.000000	  0.003480
4850.000000	53666.000000	  0.003148
4900.000000	52062.000000	  0.003314
4950.000000	48788.000000	  0.003314
