integer value	ROI intensity	reference intensity
  0.000000	33355.000000	  0.003480
 50.000000	32574.000000	  0.003480
100.000000	31317.000000	  0.003314
150.000000	29370.000000	  0.003480
200.000000	28324.000000	  0.003480
250.000000	25774.000000	  0.003314
300.000000	23820.000000	  0.003480
350.000000	23397.000000	  0.003314
400.000000	22629.000000	  0.003480
450.000000	22944.000000	  0.003480
500.000000	22945.000000	  0.003480
550.000000	24210.000000	  0.003314
600.000000	25649.000000	  0.003480
650.000000	26934.000000	  0.003314
700.000000	26633.000000	  0.003646
750.000000	29948.000000	  0.003480
800.000000	29140.000000	  0.003314
850.000000	28582.000000	  0.003480
900.000000	28358.000000	  0.003480
950.000000	29216.000000	  0.003480
1000.000000	25128.000000	  0.003480
1050.000000	24908.000000	  0.003314
1100.000000	23107.000000	  0.003480
1150.000000	20459.000000	  0.003480
1200.000000	19377.000000	  0.003480
1250.000000	18990.000000	  0.003480
1300.000000	18139.000000	  0.003480
1350.000000	17594.000000	  0.003480
1400.000000	16953.000000	  0.003480
1450.000000	15819.000000	  0.003314
1500.000000	15189.000000	  0.003314
1550.000000	14228.000000	  0.003314
1600.000000	14333.000000	  0.003480
1650.000000	14062.000000	  0.003480
1700.000000	14993.000000	  0.003314
1750.000000	15532.000000	  0.003314
1800.000000	17973.000000	  0.003314
1850.000000	20192.000000	  0.003480
1900.000000	21822.000000	  0.003480
1950.000000	24851.000000	  0.003314
2000.000000	26645.000000	  0.003314
2050.000000	27772.000000	  0.003480
2100.000000	28141.000000	  0.003314
2150.000000	29464.000000	  0.003148
2200.000000	27432.000000	  0.003314
2250.000000	27205.000000	  0.003314
2300.000000	26345.000000	  0.003480
2350.000000	25778.000000	  0.003314
2400.000000	24200.000000	  0.003314
2450.000000	23646.000000	  0.003480
2500.000000	22968.000000	  0.003314
2550.000000	22889.000000	  0.003314
2600.000000	22446.000000	  0.003314
2650.000000	23654.000000	  0.003480
2700.000000	24618.000000	  0.003314
2750.000000	26971.000000	  0.003148
2800.000000	29959.000000	  0.003314
2850.000000	32715.000000	  0.003480
2900.000000	35892.000000	  0.003314
2950.000000	38421.000000	  0.003148
3000.000000	39773.000000	  0.003480
3050.000000	39771.000000	  0.003480
3100.000000	39134.000000	  0.003314
3150.000000	37601.000000	  0.003480
3200.000000	36401.000000	  0.003314
3250.000000	34072.000000	  0.003480
3300.000000	31979.000000	  0.003480
3350.000000	30294.000000	  0.003480
3400.000000	29124.000000	  0.003314
3450.000000	27209.000000	  0.003314
3500.000000	28203.000000	  0.003314
3550.000000	27632.000000	  0.003480
3600.000000	27398.000000	  0.003314
3650.000000	29473.000000	  0.003314
3700.000000	31265.000000	  0.003314
3750.000000	33297.000000	  0.003480
3800.000000	36324.000000	  0.003314
3850.000000	40099.000000	  0.003480
3900.000000	41844.000000	  0.003314
3950.000000	43046.000000	  0.003480
4000.000000	42110.000000	  0.003480
4050.000000	39781.000000	  0.003480
4100.000000	38665.000000	  0.003314
4150.000000	34838.000000	  0.003480
4200.000000	33547.000000	  0.003314
4250.000000	31266.000000	  0.003646
4300.000000	28968.000000	  0.003480
4350.000000	27451.000000	  0.003314
4400.000000	26621.000000	  0.003314
4450.000000	25805.000000	  0.003480
4500.000000	25843.000000	  0.003480
4550.000000	26139.000000	  0.003314
4600.000000	27315.000000	  0.003314
4650.000000	30446.000000	  0.003480
4700.000000	35000.000000	  0.003480
4750.000000	36916.000000	  0.003646
4800.000000	39840.000000	  0.003480
4850.000000	40269.000000	  0.003480
4900.000000	41577.000000	  0.003480
4950.000000	38049.000000	  0.003480
