integer value	ROI intensity	reference intensity
2500.000000	48759.000000	  0.000000
2520.000000	48012.000000	  0.003646
2540.000000	47309.000000	  0.003480
2560.000000	47337.000000	  0.003480
2580.000000	45586.000000	  0.003480
2600.000000	43204.000000	  0.003646
2620.000000	42903.000000	  0.003646
2640.000000	40903.000000	  0.003480
2660.000000	40759.000000	  0.003314
2680.000000	37750.000000	  0.003811
2700.000000	38654.000000	  0.003480
2720.000000	36013.000000	  0.003314
2740.000000	34964.000000	  0.003646
2760.000000	32619.000000	  0.003646
2780.000000	31457.000000	  0.003314
2800.000000	30946.000000	  0.003480
2820.000000	29937.000000	  0.003480
2840.000000	28634.000000	  0.003480
2860.000000	27719.000000	  0.003646
2880.000000	26775.000000	  0.003480
2900.000000	26687.000000	  0.003646
2920.000000	24807.000000	  0.003646
2940.000000	25101.000000	  0.003811
2960.000000	23743.000000	  0.003811
2980.000000	23324.000000	  0.003480
3000.000000	21446.000000	  0.003480
3020.000000	21009.000000	  0.003646
3040.000000	21280.000000	  0.003480
3060.000000	20270.000000	  0.003480
3080.000000	20003.000000	  0.003646
3100.000000	19508.000000	  0.003480
3120.000000	18312.000000	  0.003480
3140.000000	18160.000000	  0.003480
3160.000000	17639.000000	  0.003480
3180.000000	16934.000000	  0.003480
3200.000000	16276.000000	  0.003480
3220.000000	15854.000000	  0.003480
3240.000000	14748.000000	  0.003646
3260.000000	14860.000000	  0.003646
3280.000000	14322.000000	  0.003480
3300.000000	14278.000000	  0.003314
3320.000000	14219.000000	  0.003646
3340.000000	13655.000000	  0.003646
3360.000000	13547.000000	  0.003480
3380.000000	13292.000000	  0.003646
3400.000000	13029.000000	  0.003646
3420.000000	12623.000000	  0.003480
3440.000000	12721.000000	  0.003480
3460.000000	12439.000000	  0.003314
3480.000000	12585.000000	  0.003480
3500.000000	12147.000000	  0.003480
3520.000000	11754.000000	  0.003646
3540.000000	12078.000000	  0.003480
3560.000000	11905.000000	  0.003314
3580.000000	11991.000000	  0.003480
3600.000000	11581.000000	  0.003646
3620.000000	11986.000000	  0.003480
3640.000000	11719.000000	  0.003480
3660.000000	11623.000000	  0.003480
3680.000000	12199.000000	  0.003480
3700.000000	11478.000000	  0.003646
3720.000000	11491.000000	  0.003480
3740.000000	11619.000000	  0.003480
3760.000000	11673.000000	  0.003646
3780.000000	11806.000000	  0.003646
3800.000000	11862.000000	  0.003480
3820.000000	11315.000000	  0.003646
3840.000000	11812.000000	  0.003646
3860.000000	11737.000000	  0.003646
3880.000000	11608.000000	  0.003646
3900.000000	11822.000000	  0.003480
3920.000000	11710.000000	  0.003480
3940.000000	11333.000000	  0.003480
3960.000000	11319.000000	  0.003646
3980.000000	11797.000000	  0.003646
4000.000000	11651.000000	  0.003646
4020.000000	11547.000000	  0.003646
4040.000000	11733.000000	  0.003480
4060.000000	11754.000000	  0.003480
4080.000000	11768.000000	  0.003646
4100.000000	12097.000000	  0.003480
4120.000000	12081.000000	  0.003646
4140.000000	12065.000000	  0.003646
4160.000000	12424.000000	  0.003480
4180.000000	12554.000000	  0.003646
4200.000000	12420.000000	  0.003646
4220.000000	12461.000000	  0.003646
4240.000000	12143.000000	  0.003646
4260.000000	12381.000000	  0.003480
4280.000000	12724.000000	  0.003646
4300.000000	12810.000000	  0.003646
4320.000000	13358.000000	  0.003646
4340.000000	12959.000000	  0.003480
4360.000000	13141.000000	  0.003314
4380.000000	13572.000000	  0.003646
4400.000000	14164.000000	  0.003646
4420.000000	14174.000000	  0.003646
4440.000000	15120.000000	  0.003646
4460.000000	15307.000000	  0.003480
