integer value	ROI intensity	reference intensity
  0.000000	22849.000000	  0.003480
 20.000000	22578.000000	  0.003646
 40.000000	22280.000000	  0.003646
 60.000000	22180.000000	  0.003646
 80.000000	22780.000000	  0.003646
100.000000	22480.000000	  0.003480
120.000000	21234.000000	  0.003480
140.000000	20469.000000	  0.003646
160.000000	20861.000000	  0.003480
180.000000	20760.000000	  0.003480
200.000000	20463.000000	  0.003480
220.000000	19813.000000	  0.003646
240.000000	20536.000000	  0.003646
260.000000	20400.000000	  0.003646
280.000000	20327.000000	  0.003646
300.000000	20115.000000	  0.003480
320.000000	18840.000000	  0.003646
340.000000	19378.000000	  0.003480
360.000000	18807.000000	  0.003811
380.000000	18956.000000	  0.003811
400.000000	18986.000000	  0.003646
420.000000	18452.000000	  0.003480
440.000000	18083.000000	  0.003646
460.000000	19482.000000	  0.003480
480.000000	18326.000000	  0.003480
500.000000	18349.000000	  0.003480
520.000000	17876.000000	  0.003480
540.000000	17651.000000	  0.003480
560.000000	17487.000000	  0.003646
580.000000	18111.000000	  0.003314
600.000000	17358.000000	  0.003480
620.000000	18184.000000	  0.003480
640.000000	18876.000000	  0.003646
660.000000	18228.000000	  0.003480
680.000000	18127.000000	  0.003480
700.000000	18385.000000	  0.003480
720.000000	18276.000000	  0.003480
740.000000	18660.000000	  0.003811
760.000000	18722.000000	  0.003480
780.000000	19026.000000	  0.003480
800.000000	18700.000000	  0.003646
820.000000	19074.000000	  0.003646
840.000000	19383.000000	  0.003646
860.000000	19153.000000	  0.003646
880.000000	19573.000000	  0.003314
900.000000	21273.000000	  0.003480
920.000000	21189.000000	  0.003480
940.000000	20693.000000	  0.003646
960.000000	20841.000000	  0.003646
980.000000	20550.000000	  0.003480
1000.000000	21224.000000	  0.003646
1020.000000	21085.000000	  0.003646
1040.000000	21987.000000	  0.003646
1060.000000	23177.000000	  0.003646
1080.000000	22780.000000	  0.003646
1100.000000	23275.000000	  0.003646
1120.000000	24305.000000	  0.003646
1140.000000	24740.000000	  0.003811
1160.000000	24062.000000	  0.003314
1180.000000	24842.000000	  0.003480
1200.000000	25064.000000	  0.003480
1220.000000	26329.000000	  0.003646
1240.000000	27268.000000	  0.003480
1260.000000	26298.000000	  0.003811
1280.000000	27623.000000	  0.003314
1300.000000	27732.000000	  0.003480
1320.000000	30111.000000	  0.003646
1340.000000	31931.000000	  0.003811
1360.000000	32397.000000	  0.003646
1380.000000	33297.000000	  0.003646
1400.000000	34190.000000	  0.003480
1420.000000	36821.000000	  0.003646
1440.000000	35788.000000	  0.003480
1460.000000	38405.000000	  0.003480
1480.000000	41063.000000	  0.003646
1500.000000	40659.000000	  0.003480
1520.000000	42177.000000	  0.003646
1540.000000	44347.000000	  0.003646
1560.000000	44360.000000	  0.003646
1580.000000	48746.000000	  0.003480
1600.000000	51032.000000	  0.003480
1620.000000	52385.000000	  0.003480
1640.000000	52648.000000	  0.003646
1660.000000	55238.000000	  0.003646
1680.000000	56062.000000	  0.003646
1700.000000	57995.000000	  0.003646
1720.000000	58202.000000	  0.003480
1740.000000	62598.000000	  0.003480
1760.000000	61845.000000	  0.003480
1780.000000	62066.000000	  0.003646
1800.000000	63180.000000	  0.003314
1820.000000	63207.000000	  0.003646
1840.000000	66469.000000	  0.003646
1860.000000	65889.000000	  0.003480
1880.000000	64840.000000	  0.003480
1900.000000	67308.000000	  0.003480
1920.000000	64925.000000	  0.003646
1940.000000	65465.000000	  0.003811
1960.000000	62740.000000	  0.003314
1980.000000	65122.000000	  0.003480
2000.000000	61496.000000	  0.003314
2020.000000	62915.000000	  0.003646
2040.000000	61267.000000	  0.003646
2060.000000	58933.000000	  0.003480
2080.000000	58070.000000	  0.003314
2100.000000	57814.000000	  0.003646
2120.000000	54447.000000	  0.003646
2140.000000	53985.000000	  0.003646
2160.000000	54519.000000	  0.003646
2180.000000	54364.000000	  0.003646
2200.000000	50288.000000	  0.003646
2220.000000	51311.000000	  0.003480
2240.000000	48903.000000	  0.003646
2260.000000	48752.000000	  0.003480
2280.000000	49890.000000	  0.003480
2300.000000	50294.000000	  0.003314
2320.000000	49094.000000	  0.003480
2340.000000	49899.000000	  0.003480
2360.000000	47736.000000	  0.003480
2380.000000	50135.000000	  0.003480
2400.000000	48838.000000	  0.003480
2420.000000	51265.000000	  0.003480
2440.000000	52478.000000	  0.003480
2460.000000	54124.000000	  0.003480
2480.000000	53625.000000	  0.003314
2500.000000	56156.000000	  0.003480
2520.000000	57312.000000	  0.003480
2540.000000	58226.000000	  0.003646
2560.000000	60988.000000	  0.003646
2580.000000	61666.000000	  0.003480
2600.000000	62378.000000	  0.003646
2620.000000	64093.000000	  0.003646
2640.000000	66441.000000	  0.003480
2660.000000	69200.000000	  0.003646
2680.000000	70815.000000	  0.003480
2700.000000	69085.000000	  0.003480
2720.000000	70558.000000	  0.003480
2740.000000	72530.000000	  0.003646
2760.000000	71901.000000	  0.003480
2780.000000	70814.000000	  0.003480
2800.000000	70165.000000	  0.003646
2820.000000	69739.000000	  0.003480
2840.000000	73492.000000	  0.003480
2860.000000	71318.000000	  0.003646
2880.000000	70600.000000	  0.003646
2900.000000	68757.000000	  0.003811
2920.000000	64609.000000	  0.003646
2940.000000	63753.000000	  0.003646
2960.000000	64164.000000	  0.003480
2980.000000	60281.000000	  0.003480
3000.000000	60884.000000	  0.003646
3020.000000	58017.000000	  0.003480
3040.000000	56594.000000	  0.003646
3060.000000	52059.000000	  0.003480
3080.000000	50254.000000	  0.003646
3100.000000	49987.000000	  0.003646
3120.000000	50428.000000	  0.003480
3140.000000	45691.000000	  0.003314
3160.000000	46923.000000	  0.003646
3180.000000	43918.000000	  0.003480
3200.000000	43580.000000	  0.003480
3220.000000	41893.000000	  0.003480
3240.000000	40489.000000	  0.003480
3260.000000	39503.000000	  0.003646
3280.000000	39851.000000	  0.003646
3300.000000	38230.000000	  0.003480
3320.000000	38175.000000	  0.003314
3340.000000	37162.000000	  0.003646
3360.000000	36781.000000	  0.003480
3380.000000	35725.000000	  0.003480
